CustomerKey,Name,Education,Occupation,Customer_Type
13,"Walker, Lauren",Bachelors,Management,registered
14,"Jenkins, Ian",Bachelors,Management,registered
15,"Bennett, Sydney",Bachelors,Management,registered
16,"Young, Chloe",Partial College,Skilled Manual,registered
17,"Hill, Wyatt",Partial College,Skilled Manual,registered
41,"Murphy, Jesse",Partial College,Skilled Manual,registered
82,"Baker, Savannah",Bachelors,Management,registered
83,"Butler, Angela",Graduate Degree,Management,registered
84,"Cox, Alyssa",Graduate Degree,Management,registered
88,"Liang, Tamara",Partial College,Professional,registered
89,"Davis, Hunter",Bachelors,Management,registered
90,"Price, Abigail",Bachelors,Management,registered
91,"Bryant, Trevor",Partial College,Professional,registered
128,"Edwards, Jan",High School,Skilled Manual,registered
129,"Long, Samantha",High School,Skilled Manual,registered
130,"Wright, Julia",High School,Skilled Manual,registered
131,"Russell, Caroline",High School,Skilled Manual,registered
134,"Griffin, Angela",Partial High School,Clerical,registered
136,"Harris, Marcus",Partial High School,Clerical,registered
138,"Taylor, Jasmine",High School,Skilled Manual,registered
139,"Davis, Lauren",High School,Skilled Manual,registered
141,"Alvarez, Javier",Partial High School,Clerical,registered
142,"Ramirez, Nicole",High School,Skilled Manual,registered
144,"Henderson, Jonathan",High School,Skilled Manual,registered
145,"Hernandez, Edward",High School,Skilled Manual,registered
146,"Coleman, Jasmine",High School,Skilled Manual,registered
153,"Williams, James",High School,Skilled Manual,registered
154,"James, Angela",High School,Skilled Manual,registered
155,"Walker, Megan",Partial College,Skilled Manual,registered
156,"Robinson, Hunter",Partial College,Skilled Manual,registered
157,"Roberts, Maria",Partial College,Skilled Manual,registered
158,"Long, Hannah",High School,Skilled Manual,registered
159,"Wright, Jason",High School,Skilled Manual,registered
160,"Hughes, Brianna",High School,Skilled Manual,registered
161,"Tang, Maurice",Partial College,Skilled Manual,registered
162,"Wood, Emily",Partial College,Skilled Manual,registered
163,"Cox, Chase",Partial College,Skilled Manual,registered
164,"Wang, Gabriel",Partial College,Skilled Manual,registered
165,"Brooks, Devin",Partial College,Skilled Manual,registered
166,"Alexander, Jocelyn",Partial College,Skilled Manual,registered
167,"Martinez, Ashley",Partial College,Skilled Manual,registered
168,"Barnes, Jasmine",Bachelors,Management,registered
169,"Rodriguez, David",Bachelors,Management,registered
170,"Richardson, Bryce",Bachelors,Management,registered
171,"Howard, Carol",Bachelors,Management,registered
172,"Hill, Jonathan",Bachelors,Management,registered
173,"Adams, Gabrielle",Bachelors,Management,registered
174,"Thomas, Sarah",Graduate Degree,Management,registered
175,"Robinson, Nicholas",Graduate Degree,Management,registered
176,"Wang, Luis",Partial College,Skilled Manual,registered
178,"Flores, Jose",Graduate Degree,Management,registered
179,"Johnson, Nathan",Graduate Degree,Management,registered
180,"Rodriguez, Molly",Graduate Degree,Management,registered
181,"Anand, April",Bachelors,Management,registered
182,"Martin, Devin",Graduate Degree,Management,registered
183,"Torres, Stephanie",Bachelors,Management,registered
184,"Lee, Jasmine",Bachelors,Management,registered
185,"Hernandez, Meghan",Bachelors,Management,registered
187,"Price, Sarah",Bachelors,Management,registered
188,"Cooper, Jennifer",Graduate Degree,Management,registered
189,"Morris, Catherine",Graduate Degree,Management,registered
190,"Blanco, Lawrence",Graduate Degree,Management,registered
191,"Bryant, Carson",Bachelors,Management,registered
202,"Foster, Amanda",Bachelors,Management,registered
203,"Price, Alexia",Bachelors,Management,registered
205,"Rivera, Destiny",High School,Professional,registered
